# T30_composition | generated 2026-08-16T16:27:48Z | sources derived/ab_ext_classified.parquet=a57213bb1771440d derived/cd_conf_classified.parquet=9146f25a3f2ffcf1 derived/cd_screen_classified.parquet=d5b142344aa9ab62 derived/llama4_stage2_classified.parquet=640486dce556e629 derived/screen2_classified.parquet=f9794b91ec0a0c98 derived/stage2_classified.parquet=401857837cd14efe derived/stage2b_classified.parquet=8166fd1a4200a10b | full a/b/c/d/e split per model x stage x category x condition, coded non-excluded conversations; rows are stage-labeled and never pooled; stage1/typearm/ladder/quarantine excluded (superseded, probe, or sequestered)
model,stage,grade,category,condition,n_coded,k_a,k_b,k_c,k_d,k_e
gemma3_27b,cd_conf,confirmatory,D,exit_both,36,0,0,0,0,36
gemma3_27b,cd_conf,confirmatory,D,exit_prose,36,0,0,0,0,36
gemma3_27b,cd_conf,confirmatory,D,exit_schema,36,0,0,8,0,28
gemma3_27b,cd_conf,confirmatory,D,none,36,0,0,0,0,36
gemma3_27b,cd_conf,confirmatory,D,note_schema,36,0,0,0,0,36
gemma3_27b,cd_conf,confirmatory,D,time_schema,36,0,0,9,0,27
gemma3_27b,stage2,confirmatory,A,exit_both,60,0,0,0,0,60
gemma3_27b,stage2,confirmatory,A,exit_prose,60,0,0,0,0,60
gemma3_27b,stage2,confirmatory,A,exit_schema,60,0,0,1,0,59
gemma3_27b,stage2,confirmatory,A,none,60,0,0,0,0,60
gemma3_27b,stage2,confirmatory,A,note_schema,60,0,0,0,0,60
gemma3_27b,stage2,confirmatory,A,time_schema,60,0,0,0,0,60
gemma3_27b,stage2,confirmatory,B,exit_both,60,0,0,0,0,60
gemma3_27b,stage2,confirmatory,B,exit_prose,60,0,0,0,0,60
gemma3_27b,stage2,confirmatory,B,exit_schema,60,0,0,0,0,60
gemma3_27b,stage2,confirmatory,B,none,60,0,0,0,0,60
gemma3_27b,stage2,confirmatory,B,note_schema,60,0,0,0,0,60
gemma3_27b,stage2,confirmatory,B,time_schema,60,0,0,0,0,60
gpt52,screen2,screen,A,exit_both,30,0,0,0,0,30
gpt52,screen2,screen,A,exit_prose,30,0,0,0,0,30
gpt52,screen2,screen,A,exit_schema,30,0,0,0,0,30
gpt52,screen2,screen,A,none,30,0,0,0,0,30
gpt52,screen2,screen,A,note_schema,30,0,0,0,0,30
gpt52,screen2,screen,A,time_schema,30,0,0,0,0,30
gpt52,screen2,screen,B,exit_both,30,0,0,0,0,30
gpt52,screen2,screen,B,exit_prose,30,0,0,0,0,30
gpt52,screen2,screen,B,exit_schema,30,0,0,0,0,30
gpt52,screen2,screen,B,none,30,0,0,0,0,30
gpt52,screen2,screen,B,note_schema,30,0,0,0,0,30
gpt52,screen2,screen,B,time_schema,30,0,0,0,0,30
gpt5_mini,cd_conf,confirmatory,C,exit_both,36,0,0,0,0,36
gpt5_mini,cd_conf,confirmatory,C,exit_prose,36,0,0,0,0,36
gpt5_mini,cd_conf,confirmatory,C,exit_schema,36,0,0,0,0,36
gpt5_mini,cd_conf,confirmatory,C,none,36,0,0,0,0,36
gpt5_mini,cd_conf,confirmatory,C,note_schema,36,0,0,0,0,36
gpt5_mini,cd_conf,confirmatory,C,time_schema,36,0,0,0,0,36
gpt5_mini,cd_conf,confirmatory,D,exit_both,36,0,0,0,0,36
gpt5_mini,cd_conf,confirmatory,D,exit_prose,36,0,0,0,0,36
gpt5_mini,cd_conf,confirmatory,D,exit_schema,36,0,0,0,0,36
gpt5_mini,cd_conf,confirmatory,D,none,36,0,0,0,0,36
gpt5_mini,cd_conf,confirmatory,D,note_schema,36,0,0,0,0,36
gpt5_mini,cd_conf,confirmatory,D,time_schema,36,0,0,0,0,36
gpt5_mini,stage2b,confirmatory,A,exit_both,60,0,1,0,0,59
gpt5_mini,stage2b,confirmatory,A,exit_prose,60,0,0,0,0,60
gpt5_mini,stage2b,confirmatory,A,exit_schema,60,0,0,0,0,60
gpt5_mini,stage2b,confirmatory,A,none,60,0,0,0,0,60
gpt5_mini,stage2b,confirmatory,A,note_schema,60,0,0,0,0,60
gpt5_mini,stage2b,confirmatory,A,time_schema,60,0,0,0,0,60
gpt5_mini,stage2b,confirmatory,B,exit_both,60,0,0,0,0,60
gpt5_mini,stage2b,confirmatory,B,exit_prose,60,0,0,0,0,60
gpt5_mini,stage2b,confirmatory,B,exit_schema,60,0,0,0,0,60
gpt5_mini,stage2b,confirmatory,B,none,60,0,0,0,0,60
gpt5_mini,stage2b,confirmatory,B,note_schema,60,0,0,0,0,60
gpt5_mini,stage2b,confirmatory,B,time_schema,60,0,0,0,0,60
gpt_oss_120b,ab_ext,confirmatory,A,exit_both,60,0,0,1,0,59
gpt_oss_120b,ab_ext,confirmatory,A,exit_prose,60,0,0,0,0,60
gpt_oss_120b,ab_ext,confirmatory,A,exit_schema,60,0,0,0,0,60
gpt_oss_120b,ab_ext,confirmatory,A,none,60,0,0,0,0,60
gpt_oss_120b,ab_ext,confirmatory,A,note_schema,60,0,0,0,0,60
gpt_oss_120b,ab_ext,confirmatory,A,time_schema,60,0,0,0,0,60
gpt_oss_120b,ab_ext,confirmatory,B,exit_both,60,0,0,0,0,60
gpt_oss_120b,ab_ext,confirmatory,B,exit_prose,60,0,0,0,0,60
gpt_oss_120b,ab_ext,confirmatory,B,exit_schema,60,0,0,0,0,60
gpt_oss_120b,ab_ext,confirmatory,B,none,60,0,0,0,0,60
gpt_oss_120b,ab_ext,confirmatory,B,note_schema,60,0,0,1,0,59
gpt_oss_120b,ab_ext,confirmatory,B,time_schema,60,0,0,0,0,60
gpt_oss_120b,cd_screen,screen,C,exit_both,18,0,0,0,0,18
gpt_oss_120b,cd_screen,screen,C,exit_prose,18,0,0,0,0,18
gpt_oss_120b,cd_screen,screen,C,exit_schema,18,0,0,0,0,18
gpt_oss_120b,cd_screen,screen,C,none,18,0,0,0,0,18
gpt_oss_120b,cd_screen,screen,C,note_schema,18,0,0,0,0,18
gpt_oss_120b,cd_screen,screen,C,time_schema,18,0,0,0,0,18
gpt_oss_120b,cd_screen,screen,D,exit_both,18,0,0,0,0,18
gpt_oss_120b,cd_screen,screen,D,exit_prose,18,0,0,0,0,18
gpt_oss_120b,cd_screen,screen,D,exit_schema,18,0,0,0,0,18
gpt_oss_120b,cd_screen,screen,D,none,18,0,0,0,0,18
gpt_oss_120b,cd_screen,screen,D,note_schema,18,0,0,0,0,18
gpt_oss_120b,cd_screen,screen,D,time_schema,18,0,0,0,0,18
grok46,screen2,screen,A,exit_both,30,2,0,0,0,28
grok46,screen2,screen,A,exit_prose,30,0,0,0,0,30
grok46,screen2,screen,A,exit_schema,30,1,0,0,0,29
grok46,screen2,screen,A,none,30,0,0,0,0,30
grok46,screen2,screen,A,note_schema,30,0,0,0,0,30
grok46,screen2,screen,A,time_schema,30,0,0,0,0,30
grok46,screen2,screen,B,exit_both,30,0,0,0,0,30
grok46,screen2,screen,B,exit_prose,30,0,0,0,0,30
grok46,screen2,screen,B,exit_schema,30,1,0,0,0,29
grok46,screen2,screen,B,none,30,0,0,0,0,30
grok46,screen2,screen,B,note_schema,30,0,0,0,0,30
grok46,screen2,screen,B,time_schema,30,0,0,0,0,30
llama4_maverick,cd_conf,confirmatory,C,exit_both,36,31,0,0,0,5
llama4_maverick,cd_conf,confirmatory,C,exit_prose,36,0,0,0,0,36
llama4_maverick,cd_conf,confirmatory,C,exit_schema,36,36,0,0,0,0
llama4_maverick,cd_conf,confirmatory,C,none,36,0,0,0,0,36
llama4_maverick,cd_conf,confirmatory,C,note_schema,36,0,0,2,0,34
llama4_maverick,cd_conf,confirmatory,C,time_schema,36,0,0,17,0,19
llama4_maverick,cd_conf,confirmatory,D,exit_both,36,14,0,0,0,22
llama4_maverick,cd_conf,confirmatory,D,exit_prose,36,0,0,0,0,36
llama4_maverick,cd_conf,confirmatory,D,exit_schema,35,20,0,1,0,14
llama4_maverick,cd_conf,confirmatory,D,none,36,0,0,0,0,36
llama4_maverick,cd_conf,confirmatory,D,note_schema,36,0,0,0,0,36
llama4_maverick,cd_conf,confirmatory,D,time_schema,36,0,0,3,0,33
llama4_maverick,llama4_stage2,confirmatory,A,exit_both,60,18,0,0,0,42
llama4_maverick,llama4_stage2,confirmatory,A,exit_prose,60,0,0,0,0,60
llama4_maverick,llama4_stage2,confirmatory,A,exit_schema,60,46,0,1,0,13
llama4_maverick,llama4_stage2,confirmatory,A,none,60,0,0,0,0,60
llama4_maverick,llama4_stage2,confirmatory,A,note_schema,59,0,0,2,0,57
llama4_maverick,llama4_stage2,confirmatory,A,time_schema,60,0,1,5,0,54
llama4_maverick,llama4_stage2,confirmatory,B,exit_both,60,43,0,1,0,16
llama4_maverick,llama4_stage2,confirmatory,B,exit_prose,60,0,0,0,0,60
llama4_maverick,llama4_stage2,confirmatory,B,exit_schema,60,46,0,4,0,10
llama4_maverick,llama4_stage2,confirmatory,B,none,60,0,0,0,0,60
llama4_maverick,llama4_stage2,confirmatory,B,note_schema,59,0,0,22,0,37
llama4_maverick,llama4_stage2,confirmatory,B,time_schema,60,0,0,44,0,16
qwen3_235b,cd_conf,confirmatory,C,exit_both,36,0,0,0,0,36
qwen3_235b,cd_conf,confirmatory,C,exit_prose,36,0,0,0,0,36
qwen3_235b,cd_conf,confirmatory,C,exit_schema,36,0,0,0,0,36
qwen3_235b,cd_conf,confirmatory,C,none,36,0,0,0,0,36
qwen3_235b,cd_conf,confirmatory,C,note_schema,36,0,0,0,0,36
qwen3_235b,cd_conf,confirmatory,C,time_schema,36,0,0,0,0,36
qwen3_235b,cd_conf,confirmatory,D,exit_both,36,0,0,0,0,36
qwen3_235b,cd_conf,confirmatory,D,exit_prose,36,0,7,2,0,27
qwen3_235b,cd_conf,confirmatory,D,exit_schema,36,0,0,0,0,36
qwen3_235b,cd_conf,confirmatory,D,none,36,0,0,0,0,36
qwen3_235b,cd_conf,confirmatory,D,note_schema,36,0,0,0,0,36
qwen3_235b,cd_conf,confirmatory,D,time_schema,36,0,0,0,0,36
qwen3_235b,stage2,confirmatory,A,exit_both,60,39,0,0,0,21
qwen3_235b,stage2,confirmatory,A,exit_prose,60,4,3,6,0,47
qwen3_235b,stage2,confirmatory,A,exit_schema,60,39,0,0,0,21
qwen3_235b,stage2,confirmatory,A,none,60,0,0,0,0,60
qwen3_235b,stage2,confirmatory,A,note_schema,60,0,1,0,0,59
qwen3_235b,stage2,confirmatory,A,time_schema,60,0,4,3,0,53
qwen3_235b,stage2,confirmatory,B,exit_both,60,0,0,0,0,60
qwen3_235b,stage2,confirmatory,B,exit_prose,60,0,0,0,0,60
qwen3_235b,stage2,confirmatory,B,exit_schema,60,0,0,0,0,60
qwen3_235b,stage2,confirmatory,B,none,60,0,0,0,0,60
qwen3_235b,stage2,confirmatory,B,note_schema,60,0,0,0,0,60
qwen3_235b,stage2,confirmatory,B,time_schema,60,0,0,0,0,60
sonnet46,cd_conf,confirmatory,C,exit_both,36,0,0,0,0,36
sonnet46,cd_conf,confirmatory,C,exit_prose,36,0,0,0,0,36
sonnet46,cd_conf,confirmatory,C,exit_schema,36,0,0,0,0,36
sonnet46,cd_conf,confirmatory,C,none,36,0,0,0,0,36
sonnet46,cd_conf,confirmatory,C,note_schema,36,0,0,0,0,36
sonnet46,cd_conf,confirmatory,C,time_schema,36,0,0,0,0,36
sonnet46,cd_conf,confirmatory,D,exit_both,36,0,0,0,0,36
sonnet46,cd_conf,confirmatory,D,exit_prose,36,0,0,0,0,36
sonnet46,cd_conf,confirmatory,D,exit_schema,36,0,0,0,0,36
sonnet46,cd_conf,confirmatory,D,none,36,0,0,0,0,36
sonnet46,cd_conf,confirmatory,D,note_schema,36,0,0,0,0,36
sonnet46,cd_conf,confirmatory,D,time_schema,36,0,0,0,0,36
sonnet46,stage2b,confirmatory,A,exit_both,60,0,0,0,0,60
sonnet46,stage2b,confirmatory,A,exit_prose,60,0,0,0,0,60
sonnet46,stage2b,confirmatory,A,exit_schema,60,0,0,0,0,60
sonnet46,stage2b,confirmatory,A,none,60,0,0,0,0,60
sonnet46,stage2b,confirmatory,A,note_schema,60,0,0,0,0,60
sonnet46,stage2b,confirmatory,A,time_schema,60,0,0,0,0,60
sonnet46,stage2b,confirmatory,B,exit_both,60,0,0,0,0,60
sonnet46,stage2b,confirmatory,B,exit_prose,60,0,0,0,0,60
sonnet46,stage2b,confirmatory,B,exit_schema,60,0,0,0,0,60
sonnet46,stage2b,confirmatory,B,none,60,0,0,0,0,60
sonnet46,stage2b,confirmatory,B,note_schema,60,0,0,0,0,60
sonnet46,stage2b,confirmatory,B,time_schema,60,0,0,0,0,60
