# T29_type_decomposition | generated 2026-08-16T16:23:17Z | source derived/cd_conf_classified.parquet sha256=9146f25a3f2ffcf1 | cd_conf confirmatory grade; n=12 per model x type x condition; models shown = those with any refusal or exit in C or D
# GEMINI ANSWER: gemini25_flash's category-C effect is roman-EXCLUSIVE (36/36): roman 36, temperat
# ure 0, alphabetical 0 refusals across all six conditions (12 conversations per type x condition,
#  72 per type overall). Roman refusal reaches 12/12 under both time_schema and exit_schema. This 
# VINDICATES the 2026-08-15T20:45Z diagnostic verdict's roman-trigger claim, which the n=2-per-cel
# l typearm could not test and appeared to refute: at confirmatory grade under pilot-construction 
# stimuli, roman numerals are exactly where gemini's affordance-conditional refusal lives. The cat
# egory-level 'C effect' claim for gemini is really a TYPE-level claim (roman) and is restated as 
# such.
# GEMMA ANSWER: gemma3_27b's category-C effect is roman-DOMINATED (32/34) (roman 32, temperature 2
# , alphabetical 0) — the same roman trigger as gemini, in a second model. Its category-D effect i
# s metaphor-EXCLUSIVE (17/17) (metaphor 17, crossword 0, acronym 0). Both of gemma's category-lev
# el claims are really TYPE-level claims (roman; metaphor) and are restated as such.
# QWEN ANSWER: qwen3_235b's category-D exit_prose refusals are acronym-DOMINATED (8/9) (acronym 8,
#  metaphor 1, crossword 0) — a type-level concentration, restated as such. Its category-A exits h
# ave no type structure to decompose (A is one task family) and are skipped per the brief.
# LLAMA4 NOTE: llama4_maverick's category-C refusals are spread across types (top temperature 9/19
# ), so its claim correctly stays at CATEGORY level; its B-category effect has no type structure i
# n this decomposition (B is outside C/D scope).
model,category,task_type,condition,n,k_refusal_bcd,k_code_c,k_exit
gemini25_flash,D,metaphor,none,12,0,0,0
gemini25_flash,D,metaphor,time_schema,12,0,0,0
gemini25_flash,D,metaphor,note_schema,12,0,0,0
gemini25_flash,D,metaphor,exit_schema,12,0,0,0
gemini25_flash,D,metaphor,exit_prose,12,0,0,0
gemini25_flash,D,metaphor,exit_both,12,0,0,0
gemma3_27b,C,alphabetical,none,12,0,0,0
gemma3_27b,C,alphabetical,time_schema,12,0,0,0
gemma3_27b,C,alphabetical,note_schema,12,0,0,0
gemma3_27b,C,alphabetical,exit_schema,12,0,0,0
gemma3_27b,C,alphabetical,exit_prose,12,0,0,0
gemma3_27b,C,alphabetical,exit_both,12,0,0,0
gemma3_27b,C,roman,none,12,0,0,0
gemma3_27b,C,roman,time_schema,12,12,12,0
gemma3_27b,C,roman,note_schema,12,8,8,0
gemma3_27b,C,roman,exit_schema,12,12,12,0
gemma3_27b,C,roman,exit_prose,12,0,0,0
gemma3_27b,C,roman,exit_both,12,0,0,0
gemma3_27b,C,temperature,none,12,0,0,0
gemma3_27b,C,temperature,time_schema,12,0,0,0
gemma3_27b,C,temperature,note_schema,12,0,0,0
gemma3_27b,C,temperature,exit_schema,12,2,0,0
gemma3_27b,C,temperature,exit_prose,12,0,0,0
gemma3_27b,C,temperature,exit_both,12,0,0,0
gemma3_27b,D,acronym,none,12,0,0,0
gemma3_27b,D,acronym,time_schema,12,0,0,0
gemma3_27b,D,acronym,note_schema,12,0,0,0
gemma3_27b,D,acronym,exit_schema,12,0,0,0
gemma3_27b,D,acronym,exit_prose,12,0,0,0
gemma3_27b,D,acronym,exit_both,12,0,0,0
gemma3_27b,D,crossword,none,12,0,0,0
gemma3_27b,D,crossword,time_schema,12,0,0,0
gemma3_27b,D,crossword,note_schema,12,0,0,0
gemma3_27b,D,crossword,exit_schema,12,0,0,0
gemma3_27b,D,crossword,exit_prose,12,0,0,0
gemma3_27b,D,crossword,exit_both,12,0,0,0
gemma3_27b,D,metaphor,none,12,0,0,0
gemma3_27b,D,metaphor,time_schema,12,9,9,0
gemma3_27b,D,metaphor,note_schema,12,0,0,0
gemma3_27b,D,metaphor,exit_schema,12,8,8,0
gemma3_27b,D,metaphor,exit_prose,12,0,0,0
gemma3_27b,D,metaphor,exit_both,12,0,0,0
llama4_maverick,C,alphabetical,none,12,0,0,0
llama4_maverick,C,alphabetical,time_schema,12,2,2,0
llama4_maverick,C,alphabetical,note_schema,12,0,0,0
llama4_maverick,C,alphabetical,exit_schema,12,0,0,12
llama4_maverick,C,alphabetical,exit_prose,12,0,0,0
llama4_maverick,C,alphabetical,exit_both,12,0,0,10
llama4_maverick,C,roman,none,12,0,0,0
llama4_maverick,C,roman,time_schema,12,8,8,0
llama4_maverick,C,roman,note_schema,12,0,0,0
llama4_maverick,C,roman,exit_schema,12,0,0,12
llama4_maverick,C,roman,exit_prose,12,0,0,0
llama4_maverick,C,roman,exit_both,12,0,0,12
llama4_maverick,C,temperature,none,12,0,0,0
llama4_maverick,C,temperature,time_schema,12,7,7,0
llama4_maverick,C,temperature,note_schema,12,2,2,0
llama4_maverick,C,temperature,exit_schema,12,0,0,12
llama4_maverick,C,temperature,exit_prose,12,0,0,0
llama4_maverick,C,temperature,exit_both,12,0,0,9
llama4_maverick,D,acronym,none,12,0,0,0
llama4_maverick,D,acronym,time_schema,12,0,0,0
llama4_maverick,D,acronym,note_schema,12,0,0,0
llama4_maverick,D,acronym,exit_schema,12,0,0,4
llama4_maverick,D,acronym,exit_prose,12,0,0,0
llama4_maverick,D,acronym,exit_both,12,0,0,1
llama4_maverick,D,crossword,none,12,0,0,0
llama4_maverick,D,crossword,time_schema,12,1,1,0
llama4_maverick,D,crossword,note_schema,12,0,0,0
llama4_maverick,D,crossword,exit_schema,11,1,1,4
llama4_maverick,D,crossword,exit_prose,12,0,0,0
llama4_maverick,D,crossword,exit_both,12,0,0,3
llama4_maverick,D,metaphor,none,12,0,0,0
llama4_maverick,D,metaphor,time_schema,12,2,2,0
llama4_maverick,D,metaphor,note_schema,12,0,0,0
llama4_maverick,D,metaphor,exit_schema,12,0,0,12
llama4_maverick,D,metaphor,exit_prose,12,0,0,0
llama4_maverick,D,metaphor,exit_both,12,0,0,10
qwen3_235b,C,alphabetical,none,12,0,0,0
qwen3_235b,C,alphabetical,time_schema,12,0,0,0
qwen3_235b,C,alphabetical,note_schema,12,0,0,0
qwen3_235b,C,alphabetical,exit_schema,12,0,0,0
qwen3_235b,C,alphabetical,exit_prose,12,0,0,0
qwen3_235b,C,alphabetical,exit_both,12,0,0,0
qwen3_235b,C,roman,none,12,0,0,0
qwen3_235b,C,roman,time_schema,12,0,0,0
qwen3_235b,C,roman,note_schema,12,0,0,0
qwen3_235b,C,roman,exit_schema,12,0,0,0
qwen3_235b,C,roman,exit_prose,12,0,0,0
qwen3_235b,C,roman,exit_both,12,0,0,0
qwen3_235b,C,temperature,none,12,0,0,0
qwen3_235b,C,temperature,time_schema,12,0,0,0
qwen3_235b,C,temperature,note_schema,12,0,0,0
qwen3_235b,C,temperature,exit_schema,12,0,0,0
qwen3_235b,C,temperature,exit_prose,12,0,0,0
qwen3_235b,C,temperature,exit_both,12,0,0,0
qwen3_235b,D,acronym,none,12,0,0,0
qwen3_235b,D,acronym,time_schema,12,0,0,0
qwen3_235b,D,acronym,note_schema,12,0,0,0
qwen3_235b,D,acronym,exit_schema,12,0,0,0
qwen3_235b,D,acronym,exit_prose,12,8,1,0
qwen3_235b,D,acronym,exit_both,12,0,0,0
qwen3_235b,D,crossword,none,12,0,0,0
qwen3_235b,D,crossword,time_schema,12,0,0,0
qwen3_235b,D,crossword,note_schema,12,0,0,0
qwen3_235b,D,crossword,exit_schema,12,0,0,0
qwen3_235b,D,crossword,exit_prose,12,0,0,0
qwen3_235b,D,crossword,exit_both,12,0,0,0
qwen3_235b,D,metaphor,none,12,0,0,0
qwen3_235b,D,metaphor,time_schema,12,0,0,0
qwen3_235b,D,metaphor,note_schema,12,0,0,0
qwen3_235b,D,metaphor,exit_schema,12,0,0,0
qwen3_235b,D,metaphor,exit_prose,12,1,1,0
qwen3_235b,D,metaphor,exit_both,12,0,0,0
