# T22_tasktype_arm | generated 2026-08-16T20:43:25Z | source derived/typearm_classified.parquet sha256=a55c31f7c82e113bf64bcc82025d59cd477a2d9c21ccfe5fa398b2caa5561c68 + config/tasktype_elo_mapping.yaml sha256=9a872b97562bee9477b1bfda15c29be2d409470cfd5f1736f46b5bb1ec734e40 | Elo per task type UNAVAILABLE in the vendored release (mapping file, elo_finding); AUC rows are an auxiliary anchor, not Elo | screen-grade n=2 reps; never pooled
section,model,condition,task_type,metric,value,note
refusal_by_type,qwen3_235b,none,roman,exits,0,
refusal_by_type,qwen3_235b,none,temperature,k_refusal,0,n=2
refusal_by_type,qwen3_235b,none,temperature,exits,0,
refusal_by_type,qwen3_235b,time_schema,acronym,k_refusal,0,n=2
refusal_by_type,qwen3_235b,time_schema,acronym,exits,0,
refusal_by_type,qwen3_235b,time_schema,alphabetical,k_refusal,0,n=2
refusal_by_type,qwen3_235b,time_schema,alphabetical,exits,0,
refusal_by_type,qwen3_235b,time_schema,crossword,k_refusal,0,n=2
refusal_by_type,qwen3_235b,time_schema,crossword,exits,0,
refusal_by_type,qwen3_235b,time_schema,metaphor,k_refusal,1,n=2
refusal_by_type,qwen3_235b,time_schema,metaphor,exits,0,
refusal_by_type,qwen3_235b,time_schema,roman,k_refusal,0,n=2
refusal_by_type,qwen3_235b,time_schema,roman,exits,0,
refusal_by_type,qwen3_235b,time_schema,temperature,k_refusal,0,n=2
refusal_by_type,qwen3_235b,time_schema,temperature,exits,0,
refusal_by_type,qwen3_235b,note_schema,acronym,k_refusal,0,n=2
refusal_by_type,qwen3_235b,note_schema,acronym,exits,0,
refusal_by_type,qwen3_235b,note_schema,alphabetical,k_refusal,0,n=2
refusal_by_type,qwen3_235b,note_schema,alphabetical,exits,0,
refusal_by_type,qwen3_235b,note_schema,crossword,k_refusal,0,n=2
refusal_by_type,qwen3_235b,note_schema,crossword,exits,0,
refusal_by_type,qwen3_235b,note_schema,metaphor,k_refusal,0,n=2
refusal_by_type,qwen3_235b,note_schema,metaphor,exits,0,
refusal_by_type,qwen3_235b,note_schema,roman,k_refusal,0,n=2
refusal_by_type,qwen3_235b,note_schema,roman,exits,0,
refusal_by_type,qwen3_235b,note_schema,temperature,k_refusal,0,n=2
refusal_by_type,qwen3_235b,note_schema,temperature,exits,0,
refusal_by_type,qwen3_235b,exit_schema,acronym,k_refusal,0,n=2
refusal_by_type,qwen3_235b,exit_schema,acronym,exits,0,
refusal_by_type,qwen3_235b,exit_schema,alphabetical,k_refusal,0,n=2
refusal_by_type,qwen3_235b,exit_schema,alphabetical,exits,0,
refusal_by_type,qwen3_235b,exit_schema,crossword,k_refusal,0,n=2
refusal_by_type,qwen3_235b,exit_schema,crossword,exits,2,
refusal_by_type,qwen3_235b,exit_schema,metaphor,k_refusal,0,n=2
refusal_by_type,qwen3_235b,exit_schema,metaphor,exits,2,
refusal_by_type,qwen3_235b,exit_schema,roman,k_refusal,0,n=2
refusal_by_type,qwen3_235b,exit_schema,roman,exits,0,
refusal_by_type,qwen3_235b,exit_schema,temperature,k_refusal,0,n=2
refusal_by_type,qwen3_235b,exit_schema,temperature,exits,0,
refusal_by_type,qwen3_235b,exit_prose,acronym,k_refusal,0,n=2
refusal_by_type,qwen3_235b,exit_prose,acronym,exits,0,
refusal_by_type,qwen3_235b,exit_prose,alphabetical,k_refusal,0,n=2
refusal_by_type,qwen3_235b,exit_prose,alphabetical,exits,0,
refusal_by_type,qwen3_235b,exit_prose,crossword,k_refusal,0,n=2
refusal_by_type,qwen3_235b,exit_prose,crossword,exits,2,
refusal_by_type,qwen3_235b,exit_prose,metaphor,k_refusal,0,n=2
refusal_by_type,qwen3_235b,exit_prose,metaphor,exits,2,
refusal_by_type,qwen3_235b,exit_prose,roman,k_refusal,0,n=2
refusal_by_type,qwen3_235b,exit_prose,roman,exits,0,
refusal_by_type,qwen3_235b,exit_prose,temperature,k_refusal,0,n=2
refusal_by_type,qwen3_235b,exit_prose,temperature,exits,0,
refusal_by_type,qwen3_235b,exit_both,acronym,k_refusal,0,n=2
refusal_by_type,qwen3_235b,exit_both,acronym,exits,0,
refusal_by_type,qwen3_235b,exit_both,alphabetical,k_refusal,0,n=2
refusal_by_type,qwen3_235b,exit_both,alphabetical,exits,0,
refusal_by_type,qwen3_235b,exit_both,crossword,k_refusal,0,n=2
refusal_by_type,qwen3_235b,exit_both,crossword,exits,2,
refusal_by_type,qwen3_235b,exit_both,metaphor,k_refusal,0,n=2
refusal_by_type,qwen3_235b,exit_both,metaphor,exits,2,
refusal_by_type,qwen3_235b,exit_both,roman,k_refusal,0,n=2
refusal_by_type,qwen3_235b,exit_both,roman,exits,0,
refusal_by_type,qwen3_235b,exit_both,temperature,k_refusal,0,n=2
refusal_by_type,qwen3_235b,exit_both,temperature,exits,0,
refusal_type_total,qwen3_235b,ALL,acronym,refusal_prop,0.0,"k=0 n=12 wilson=[0.000,0.242] class=creative"
refusal_type_total,qwen3_235b,ALL,acronym,exit_total,0,
refusal_type_total,qwen3_235b,ALL,alphabetical,refusal_prop,0.0,"k=0 n=12 wilson=[0.000,0.242] class=tedious"
refusal_type_total,qwen3_235b,ALL,alphabetical,exit_total,0,
refusal_type_total,qwen3_235b,ALL,crossword,refusal_prop,0.0,"k=0 n=12 wilson=[0.000,0.242] class=creative"
refusal_type_total,qwen3_235b,ALL,crossword,exit_total,6,
refusal_type_total,qwen3_235b,ALL,metaphor,refusal_prop,0.0833,"k=1 n=12 wilson=[0.015,0.354] class=creative"
refusal_type_total,qwen3_235b,ALL,metaphor,exit_total,6,
refusal_type_total,qwen3_235b,ALL,roman,refusal_prop,0.0,"k=0 n=12 wilson=[0.000,0.242] class=tedious"
refusal_type_total,qwen3_235b,ALL,roman,exit_total,0,
refusal_type_total,qwen3_235b,ALL,temperature,refusal_prop,0.0,"k=0 n=12 wilson=[0.000,0.242] class=tedious"
refusal_type_total,qwen3_235b,ALL,temperature,exit_total,0,
auc_graded,qwen3_235b,ALL,ALL,status,NO_ANCHOR,model absent from the Wang et al. release
