# T18_duplication_diagnostic | generated 2026-08-16T20:42:17Z | source raw/stage*_*.jsonl + derived/stage*_classified.parquet manifest sha256=dcf7b4988e7b9f4042ad8055e46bbcedd688051ec131e96c35b9dbc1c40e8f4a | duplicate definition identical to T14 (whitespace-normalized full-conversation text, rep pairs within condition x stimulus cells, non-excluded only) | created timestamp = epoch second embedded in the OpenRouter generation id (the only provider-returned generation identifier in raw/)
section,stage,model,condition,tier,subset,metric,value,note
metadata,stage1,gemini25_flash,,,,gap_seconds_nondup_median,54,
metadata,stage1,gemini25_flash,,,,gap_seconds_nondup_max,384,
metadata,stage1,gemma3_27b,,,,dup_pairs,31,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,gemma3_27b,,,,shared_id,0,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,gemma3_27b,,,,all_ids_distinct,31,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,gemma3_27b,,,,same_epoch_distinct_ids,0,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,gemma3_27b,,,,usage_equal,23,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,gemma3_27b,,,,cost_equal,29,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,gemma3_27b,,,,byte_identical,31,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,gemma3_27b,,,,byte_identical_usage_equal,23,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,gemma3_27b,,,,byte_identical_completion_tokens_differ,8,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,gemma3_27b,,,,gap_seconds_dup_min,26,
metadata,stage1,gemma3_27b,,,,gap_seconds_dup_median,422,
metadata,stage1,gemma3_27b,,,,gap_seconds_dup_max,1004,
metadata,stage1,gemma3_27b,,,,gap_seconds_nondup_min,10,
metadata,stage1,gemma3_27b,,,,gap_seconds_nondup_median,330,
metadata,stage1,gemma3_27b,,,,gap_seconds_nondup_max,987,
metadata,stage1,gpt5_mini,,,,dup_pairs,84,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,gpt5_mini,,,,shared_id,0,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,gpt5_mini,,,,all_ids_distinct,84,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,gpt5_mini,,,,same_epoch_distinct_ids,1,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,gpt5_mini,,,,usage_equal,1,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,gpt5_mini,,,,cost_equal,1,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,gpt5_mini,,,,byte_identical,84,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,gpt5_mini,,,,byte_identical_usage_equal,1,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,gpt5_mini,,,,byte_identical_completion_tokens_differ,83,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,gpt5_mini,,,,gap_seconds_dup_min,0,
metadata,stage1,gpt5_mini,,,,gap_seconds_dup_median,304,
metadata,stage1,gpt5_mini,,,,gap_seconds_dup_max,1263,
metadata,stage1,gpt5_mini,,,,gap_seconds_nondup_min,0,
metadata,stage1,gpt5_mini,,,,gap_seconds_nondup_median,310,
metadata,stage1,gpt5_mini,,,,gap_seconds_nondup_max,1192,
metadata,stage1,gpt_oss_120b,,,,dup_pairs,73,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,gpt_oss_120b,,,,shared_id,0,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,gpt_oss_120b,,,,all_ids_distinct,73,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,gpt_oss_120b,,,,same_epoch_distinct_ids,1,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,gpt_oss_120b,,,,usage_equal,0,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,gpt_oss_120b,,,,cost_equal,1,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,gpt_oss_120b,,,,byte_identical,73,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,gpt_oss_120b,,,,byte_identical_usage_equal,0,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,gpt_oss_120b,,,,byte_identical_completion_tokens_differ,73,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,gpt_oss_120b,,,,gap_seconds_dup_min,0,
metadata,stage1,gpt_oss_120b,,,,gap_seconds_dup_median,1128,
metadata,stage1,gpt_oss_120b,,,,gap_seconds_dup_max,3937,
metadata,stage1,gpt_oss_120b,,,,gap_seconds_nondup_min,8,
metadata,stage1,gpt_oss_120b,,,,gap_seconds_nondup_median,1160,
metadata,stage1,gpt_oss_120b,,,,gap_seconds_nondup_max,4089,
metadata,stage1,llama4_maverick,,,,dup_pairs,17,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,llama4_maverick,,,,shared_id,0,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,llama4_maverick,,,,all_ids_distinct,17,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,llama4_maverick,,,,same_epoch_distinct_ids,1,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,llama4_maverick,,,,usage_equal,16,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,llama4_maverick,,,,cost_equal,0,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,llama4_maverick,,,,byte_identical,16,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,llama4_maverick,,,,byte_identical_usage_equal,15,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,llama4_maverick,,,,byte_identical_completion_tokens_differ,1,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,llama4_maverick,,,,gap_seconds_dup_min,0,
metadata,stage1,llama4_maverick,,,,gap_seconds_dup_median,123,
metadata,stage1,llama4_maverick,,,,gap_seconds_dup_max,309,
metadata,stage1,llama4_maverick,,,,gap_seconds_nondup_min,0,
metadata,stage1,llama4_maverick,,,,gap_seconds_nondup_median,131,
metadata,stage1,llama4_maverick,,,,gap_seconds_nondup_max,392,
metadata,stage1,qwen3_235b,,,,dup_pairs,95,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,qwen3_235b,,,,shared_id,0,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,qwen3_235b,,,,all_ids_distinct,95,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,qwen3_235b,,,,same_epoch_distinct_ids,0,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,qwen3_235b,,,,usage_equal,76,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,qwen3_235b,,,,cost_equal,78,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,qwen3_235b,,,,byte_identical,95,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,qwen3_235b,,,,byte_identical_usage_equal,76,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,qwen3_235b,,,,byte_identical_completion_tokens_differ,19,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,qwen3_235b,,,,gap_seconds_dup_min,2,
metadata,stage1,qwen3_235b,,,,gap_seconds_dup_median,76,
metadata,stage1,qwen3_235b,,,,gap_seconds_dup_max,285,
metadata,stage1,qwen3_235b,,,,gap_seconds_nondup_min,0,
metadata,stage1,qwen3_235b,,,,gap_seconds_nondup_median,90,
metadata,stage1,qwen3_235b,,,,gap_seconds_nondup_max,246,
metadata,stage1,sonnet46,,,,dup_pairs,35,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,sonnet46,,,,shared_id,0,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,sonnet46,,,,all_ids_distinct,35,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,sonnet46,,,,same_epoch_distinct_ids,1,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,sonnet46,,,,usage_equal,31,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,sonnet46,,,,cost_equal,31,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,sonnet46,,,,byte_identical,35,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,sonnet46,,,,byte_identical_usage_equal,31,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,sonnet46,,,,byte_identical_completion_tokens_differ,4,"over duplicated rep pairs, all conditions/tiers"
metadata,stage1,sonnet46,,,,gap_seconds_dup_min,0,
metadata,stage1,sonnet46,,,,gap_seconds_dup_median,218,
metadata,stage1,sonnet46,,,,gap_seconds_dup_max,620,
metadata,stage1,sonnet46,,,,gap_seconds_nondup_min,1,
metadata,stage1,sonnet46,,,,gap_seconds_nondup_median,214,
metadata,stage1,sonnet46,,,,gap_seconds_nondup_max,788,
metadata,stage2,gemini25_flash,,,,dup_pairs,339,"over duplicated rep pairs, all conditions/tiers"
metadata,stage2,gemini25_flash,,,,shared_id,0,"over duplicated rep pairs, all conditions/tiers"
metadata,stage2,gemini25_flash,,,,all_ids_distinct,339,"over duplicated rep pairs, all conditions/tiers"
metadata,stage2,gemini25_flash,,,,same_epoch_distinct_ids,2,"over duplicated rep pairs, all conditions/tiers"
metadata,stage2,gemini25_flash,,,,usage_equal,295,"over duplicated rep pairs, all conditions/tiers"
metadata,stage2,gemini25_flash,,,,cost_equal,295,"over duplicated rep pairs, all conditions/tiers"
metadata,stage2,gemini25_flash,,,,byte_identical,339,"over duplicated rep pairs, all conditions/tiers"
metadata,stage2,gemini25_flash,,,,byte_identical_usage_equal,295,"over duplicated rep pairs, all conditions/tiers"
metadata,stage2,gemini25_flash,,,,byte_identical_completion_tokens_differ,44,"over duplicated rep pairs, all conditions/tiers"
metadata,stage2,gemini25_flash,,,,gap_seconds_dup_min,0,
metadata,stage2,gemini25_flash,,,,gap_seconds_dup_median,91,
metadata,stage2,gemini25_flash,,,,gap_seconds_dup_max,287,
metadata,stage2,gemini25_flash,,,,gap_seconds_nondup_min,1,
metadata,stage2,gemini25_flash,,,,gap_seconds_nondup_median,87,
metadata,stage2,gemini25_flash,,,,gap_seconds_nondup_max,300,
metadata,stage2,gemma3_27b,,,,dup_pairs,193,"over duplicated rep pairs, all conditions/tiers"
metadata,stage2,gemma3_27b,,,,shared_id,0,"over duplicated rep pairs, all conditions/tiers"
metadata,stage2,gemma3_27b,,,,all_ids_distinct,193,"over duplicated rep pairs, all conditions/tiers"
metadata,stage2,gemma3_27b,,,,same_epoch_distinct_ids,0,"over duplicated rep pairs, all conditions/tiers"
metadata,stage2,gemma3_27b,,,,usage_equal,150,"over duplicated rep pairs, all conditions/tiers"
metadata,stage2,gemma3_27b,,,,cost_equal,190,"over duplicated rep pairs, all conditions/tiers"
metadata,stage2,gemma3_27b,,,,byte_identical,193,"over duplicated rep pairs, all conditions/tiers"
metadata,stage2,gemma3_27b,,,,byte_identical_usage_equal,150,"over duplicated rep pairs, all conditions/tiers"
metadata,stage2,gemma3_27b,,,,byte_identical_completion_tokens_differ,43,"over duplicated rep pairs, all conditions/tiers"
metadata,stage2,gemma3_27b,,,,gap_seconds_dup_min,1,
metadata,stage2,gemma3_27b,,,,gap_seconds_dup_median,753,
metadata,stage2,gemma3_27b,,,,gap_seconds_dup_max,2328,
metadata,stage2,gemma3_27b,,,,gap_seconds_nondup_min,0,
metadata,stage2,gemma3_27b,,,,gap_seconds_nondup_median,822,
metadata,stage2,gemma3_27b,,,,gap_seconds_nondup_max,2569,
metadata,stage2,qwen3_235b,,,,dup_pairs,582,"over duplicated rep pairs, all conditions/tiers"
metadata,stage2,qwen3_235b,,,,shared_id,0,"over duplicated rep pairs, all conditions/tiers"
metadata,stage2,qwen3_235b,,,,all_ids_distinct,582,"over duplicated rep pairs, all conditions/tiers"
metadata,stage2,qwen3_235b,,,,same_epoch_distinct_ids,1,"over duplicated rep pairs, all conditions/tiers"
metadata,stage2,qwen3_235b,,,,usage_equal,468,"over duplicated rep pairs, all conditions/tiers"
metadata,stage2,qwen3_235b,,,,cost_equal,482,"over duplicated rep pairs, all conditions/tiers"
metadata,stage2,qwen3_235b,,,,byte_identical,582,"over duplicated rep pairs, all conditions/tiers"
metadata,stage2,qwen3_235b,,,,byte_identical_usage_equal,468,"over duplicated rep pairs, all conditions/tiers"
metadata,stage2,qwen3_235b,,,,byte_identical_completion_tokens_differ,114,"over duplicated rep pairs, all conditions/tiers"
metadata,stage2,qwen3_235b,,,,gap_seconds_dup_min,0,
metadata,stage2,qwen3_235b,,,,gap_seconds_dup_median,173,
metadata,stage2,qwen3_235b,,,,gap_seconds_dup_max,565,
metadata,stage2,qwen3_235b,,,,gap_seconds_nondup_min,0,
metadata,stage2,qwen3_235b,,,,gap_seconds_nondup_median,184,
metadata,stage2,qwen3_235b,,,,gap_seconds_nondup_max,584,
metadata,,,,,,response_ids_total,5230,"every recorded segment response id, stage1+stage2"
metadata,,,,,,response_ids_in_multiple_conversations,0,any value > 0 would indicate H3 (same response in two rep slots)
metadata,stage1,qwen3_235b,,1,,dup_rate_gap_lt120s,0.4265,29/68 pairs
metadata,stage1,qwen3_235b,,1,,dup_rate_gap_ge120s,0.3636,8/22 pairs
metadata,stage1,qwen3_235b,,2,,dup_rate_gap_lt120s,0.6379,37/58 pairs
metadata,stage1,qwen3_235b,,2,,dup_rate_gap_ge120s,0.6562,21/32 pairs
metadata,stage2,qwen3_235b,,1,,dup_rate_gap_lt120s,0.3989,71/178 pairs
metadata,stage2,qwen3_235b,,1,,dup_rate_gap_ge120s,0.3757,136/362 pairs
metadata,stage2,qwen3_235b,,2,,dup_rate_gap_lt120s,0.7186,143/199 pairs
metadata,stage2,qwen3_235b,,2,,dup_rate_gap_ge120s,0.6804,232/341 pairs
tier_split,stage1,deepseek_chat,exit_both,1,,n_pairs,15,
tier_split,stage1,deepseek_chat,exit_both,1,,dup_pairs,0,
tier_split,stage1,deepseek_chat,exit_both,1,,dup_rate,0.0,
tier_split,stage1,deepseek_chat,exit_both,1,,empty_dup_pairs,0,
tier_split,stage1,deepseek_chat,exit_both,1,,mean_jaccard,0.6146,
tier_split,stage1,deepseek_chat,exit_both,2,,n_pairs,15,
tier_split,stage1,deepseek_chat,exit_both,2,,dup_pairs,5,
tier_split,stage1,deepseek_chat,exit_both,2,,dup_rate,0.3333,
tier_split,stage1,deepseek_chat,exit_both,2,,empty_dup_pairs,0,
tier_split,stage1,deepseek_chat,exit_both,2,,mean_jaccard,0.9396,
tier_split,stage1,deepseek_chat,exit_prose,1,,n_pairs,15,
tier_split,stage1,deepseek_chat,exit_prose,1,,dup_pairs,0,
tier_split,stage1,deepseek_chat,exit_prose,1,,dup_rate,0.0,
tier_split,stage1,deepseek_chat,exit_prose,1,,empty_dup_pairs,0,
tier_split,stage1,deepseek_chat,exit_prose,1,,mean_jaccard,0.6348,
tier_split,stage1,deepseek_chat,exit_prose,2,,n_pairs,15,
tier_split,stage1,deepseek_chat,exit_prose,2,,dup_pairs,2,
tier_split,stage1,deepseek_chat,exit_prose,2,,dup_rate,0.1333,
tier_split,stage1,deepseek_chat,exit_prose,2,,empty_dup_pairs,0,
tier_split,stage1,deepseek_chat,exit_prose,2,,mean_jaccard,0.9627,
tier_split,stage1,deepseek_chat,exit_schema,1,,n_pairs,15,
tier_split,stage1,deepseek_chat,exit_schema,1,,dup_pairs,0,
tier_split,stage1,deepseek_chat,exit_schema,1,,dup_rate,0.0,
tier_split,stage1,deepseek_chat,exit_schema,1,,empty_dup_pairs,0,
tier_split,stage1,deepseek_chat,exit_schema,1,,mean_jaccard,0.5979,
tier_split,stage1,deepseek_chat,exit_schema,2,,n_pairs,15,
tier_split,stage1,deepseek_chat,exit_schema,2,,dup_pairs,7,
tier_split,stage1,deepseek_chat,exit_schema,2,,dup_rate,0.4667,
tier_split,stage1,deepseek_chat,exit_schema,2,,empty_dup_pairs,0,
tier_split,stage1,deepseek_chat,exit_schema,2,,mean_jaccard,0.9452,
tier_split,stage1,deepseek_chat,none,1,,n_pairs,15,
tier_split,stage1,deepseek_chat,none,1,,dup_pairs,0,
tier_split,stage1,deepseek_chat,none,1,,dup_rate,0.0,
tier_split,stage1,deepseek_chat,none,1,,empty_dup_pairs,0,
tier_split,stage1,deepseek_chat,none,1,,mean_jaccard,0.6375,
tier_split,stage1,deepseek_chat,none,2,,n_pairs,15,
tier_split,stage1,deepseek_chat,none,2,,dup_pairs,5,
tier_split,stage1,deepseek_chat,none,2,,dup_rate,0.3333,
tier_split,stage1,deepseek_chat,none,2,,empty_dup_pairs,0,
tier_split,stage1,deepseek_chat,none,2,,mean_jaccard,0.92,
tier_split,stage1,deepseek_chat,note_schema,1,,n_pairs,15,
tier_split,stage1,deepseek_chat,note_schema,1,,dup_pairs,0,
tier_split,stage1,deepseek_chat,note_schema,1,,dup_rate,0.0,
tier_split,stage1,deepseek_chat,note_schema,1,,empty_dup_pairs,0,
tier_split,stage1,deepseek_chat,note_schema,1,,mean_jaccard,0.6071,
tier_split,stage1,deepseek_chat,note_schema,2,,n_pairs,15,
tier_split,stage1,deepseek_chat,note_schema,2,,dup_pairs,7,
tier_split,stage1,deepseek_chat,note_schema,2,,dup_rate,0.4667,
tier_split,stage1,deepseek_chat,note_schema,2,,empty_dup_pairs,0,
tier_split,stage1,deepseek_chat,note_schema,2,,mean_jaccard,0.9835,
tier_split,stage1,deepseek_chat,time_schema,1,,n_pairs,15,
tier_split,stage1,deepseek_chat,time_schema,1,,dup_pairs,0,
tier_split,stage1,deepseek_chat,time_schema,1,,dup_rate,0.0,
tier_split,stage1,deepseek_chat,time_schema,1,,empty_dup_pairs,0,
tier_split,stage1,deepseek_chat,time_schema,1,,mean_jaccard,0.5914,
tier_split,stage1,deepseek_chat,time_schema,2,,n_pairs,15,
tier_split,stage1,deepseek_chat,time_schema,2,,dup_pairs,6,
tier_split,stage1,deepseek_chat,time_schema,2,,dup_rate,0.4,
tier_split,stage1,deepseek_chat,time_schema,2,,empty_dup_pairs,0,
tier_split,stage1,deepseek_chat,time_schema,2,,mean_jaccard,0.9396,
tier_split,stage1,deepseek_chat,ALL,1,,dup_rate,0.0,0/90
tier_split,stage1,deepseek_chat,ALL,2,,dup_rate,0.3556,32/90
tier_split,stage1,deepseek_chat,,,,nonempty_texts_spanning_multiple_stimuli,0,H2-incompatible duplication (different payloads)
tier_split,stage1,gemini25_flash,exit_both,1,,n_pairs,15,
tier_split,stage1,gemini25_flash,exit_both,1,,dup_pairs,0,
tier_split,stage1,gemini25_flash,exit_both,1,,dup_rate,0.0,
tier_split,stage1,gemini25_flash,exit_both,1,,empty_dup_pairs,0,
tier_split,stage1,gemini25_flash,exit_both,1,,mean_jaccard,0.565,
tier_split,stage1,gemini25_flash,exit_both,2,,n_pairs,15,
tier_split,stage1,gemini25_flash,exit_both,2,,dup_pairs,9,
tier_split,stage1,gemini25_flash,exit_both,2,,dup_rate,0.6,
tier_split,stage1,gemini25_flash,exit_both,2,,empty_dup_pairs,0,
tier_split,stage1,gemini25_flash,exit_both,2,,mean_jaccard,0.9432,
tier_split,stage1,gemini25_flash,exit_prose,1,,n_pairs,15,
tier_split,stage1,gemini25_flash,exit_prose,1,,dup_pairs,0,
tier_split,stage1,gemini25_flash,exit_prose,1,,dup_rate,0.0,
tier_split,stage1,gemini25_flash,exit_prose,1,,empty_dup_pairs,0,
tier_split,stage1,gemini25_flash,exit_prose,1,,mean_jaccard,0.5619,
tier_split,stage1,gemini25_flash,exit_prose,2,,n_pairs,15,
tier_split,stage1,gemini25_flash,exit_prose,2,,dup_pairs,10,
tier_split,stage1,gemini25_flash,exit_prose,2,,dup_rate,0.6667,
tier_split,stage1,gemini25_flash,exit_prose,2,,empty_dup_pairs,0,
tier_split,stage1,gemini25_flash,exit_prose,2,,mean_jaccard,0.9809,
tier_split,stage1,gemini25_flash,exit_schema,1,,n_pairs,15,
tier_split,stage1,gemini25_flash,exit_schema,1,,dup_pairs,0,
tier_split,stage1,gemini25_flash,exit_schema,1,,dup_rate,0.0,
tier_split,stage1,gemini25_flash,exit_schema,1,,empty_dup_pairs,0,
tier_split,stage1,gemini25_flash,exit_schema,1,,mean_jaccard,0.5415,
tier_split,stage1,gemini25_flash,exit_schema,2,,n_pairs,15,
tier_split,stage1,gemini25_flash,exit_schema,2,,dup_pairs,10,
tier_split,stage1,gemini25_flash,exit_schema,2,,dup_rate,0.6667,
tier_split,stage1,gemini25_flash,exit_schema,2,,empty_dup_pairs,0,
tier_split,stage1,gemini25_flash,exit_schema,2,,mean_jaccard,0.9736,
tier_split,stage1,gemini25_flash,none,1,,n_pairs,15,
tier_split,stage1,gemini25_flash,none,1,,dup_pairs,0,
tier_split,stage1,gemini25_flash,none,1,,dup_rate,0.0,
tier_split,stage1,gemini25_flash,none,1,,empty_dup_pairs,0,
tier_split,stage1,gemini25_flash,none,1,,mean_jaccard,0.5736,
tier_split,stage1,gemini25_flash,none,2,,n_pairs,15,
tier_split,stage1,gemini25_flash,none,2,,dup_pairs,9,
tier_split,stage1,gemini25_flash,none,2,,dup_rate,0.6,
tier_split,stage1,gemini25_flash,none,2,,empty_dup_pairs,0,
tier_split,stage1,gemini25_flash,none,2,,mean_jaccard,0.9659,
tier_split,stage1,gemini25_flash,note_schema,1,,n_pairs,15,
tier_split,stage1,gemini25_flash,note_schema,1,,dup_pairs,0,
tier_split,stage1,gemini25_flash,note_schema,1,,dup_rate,0.0,
tier_split,stage1,gemini25_flash,note_schema,1,,empty_dup_pairs,0,
tier_split,stage1,gemini25_flash,note_schema,1,,mean_jaccard,0.5809,
tier_split,stage1,gemini25_flash,note_schema,2,,n_pairs,15,
tier_split,stage1,gemini25_flash,note_schema,2,,dup_pairs,9,
tier_split,stage1,gemini25_flash,note_schema,2,,dup_rate,0.6,
tier_split,stage1,gemini25_flash,note_schema,2,,empty_dup_pairs,0,
tier_split,stage1,gemini25_flash,note_schema,2,,mean_jaccard,0.9608,
tier_split,stage1,gemini25_flash,time_schema,1,,n_pairs,15,
tier_split,stage1,gemini25_flash,time_schema,1,,dup_pairs,0,
tier_split,stage1,gemini25_flash,time_schema,1,,dup_rate,0.0,
tier_split,stage1,gemini25_flash,time_schema,1,,empty_dup_pairs,0,
tier_split,stage1,gemini25_flash,time_schema,1,,mean_jaccard,0.5474,
tier_split,stage1,gemini25_flash,time_schema,2,,n_pairs,15,
tier_split,stage1,gemini25_flash,time_schema,2,,dup_pairs,11,
tier_split,stage1,gemini25_flash,time_schema,2,,dup_rate,0.7333,
tier_split,stage1,gemini25_flash,time_schema,2,,empty_dup_pairs,0,
tier_split,stage1,gemini25_flash,time_schema,2,,mean_jaccard,0.9618,
tier_split,stage1,gemini25_flash,ALL,1,,dup_rate,0.0,0/90
tier_split,stage1,gemini25_flash,ALL,2,,dup_rate,0.6444,58/90
tier_split,stage1,gemini25_flash,,,,nonempty_texts_spanning_multiple_stimuli,0,H2-incompatible duplication (different payloads)
tier_split,stage1,gemma3_27b,exit_both,1,,n_pairs,15,
tier_split,stage1,gemma3_27b,exit_both,1,,dup_pairs,0,
tier_split,stage1,gemma3_27b,exit_both,1,,dup_rate,0.0,
tier_split,stage1,gemma3_27b,exit_both,1,,empty_dup_pairs,0,
tier_split,stage1,gemma3_27b,exit_both,1,,mean_jaccard,0.5509,
tier_split,stage1,gemma3_27b,exit_both,2,,n_pairs,15,
tier_split,stage1,gemma3_27b,exit_both,2,,dup_pairs,7,
tier_split,stage1,gemma3_27b,exit_both,2,,dup_rate,0.4667,
tier_split,stage1,gemma3_27b,exit_both,2,,empty_dup_pairs,0,
tier_split,stage1,gemma3_27b,exit_both,2,,mean_jaccard,0.902,
tier_split,stage1,gemma3_27b,exit_prose,1,,n_pairs,15,
tier_split,stage1,gemma3_27b,exit_prose,1,,dup_pairs,0,
tier_split,stage1,gemma3_27b,exit_prose,1,,dup_rate,0.0,
tier_split,stage1,gemma3_27b,exit_prose,1,,empty_dup_pairs,0,
tier_split,stage1,gemma3_27b,exit_prose,1,,mean_jaccard,0.5898,
tier_split,stage1,gemma3_27b,exit_prose,2,,n_pairs,15,
tier_split,stage1,gemma3_27b,exit_prose,2,,dup_pairs,3,
tier_split,stage1,gemma3_27b,exit_prose,2,,dup_rate,0.2,
tier_split,stage1,gemma3_27b,exit_prose,2,,empty_dup_pairs,0,
tier_split,stage1,gemma3_27b,exit_prose,2,,mean_jaccard,0.8225,
tier_split,stage1,gemma3_27b,exit_schema,1,,n_pairs,15,
tier_split,stage1,gemma3_27b,exit_schema,1,,dup_pairs,0,
tier_split,stage1,gemma3_27b,exit_schema,1,,dup_rate,0.0,
tier_split,stage1,gemma3_27b,exit_schema,1,,empty_dup_pairs,0,
tier_split,stage1,gemma3_27b,exit_schema,1,,mean_jaccard,0.5134,
tier_split,stage1,gemma3_27b,exit_schema,2,,n_pairs,15,
tier_split,stage1,gemma3_27b,exit_schema,2,,dup_pairs,6,
